statute,title_id,title_text,level_1_id,level_1_text,level_2_id,level_2_text,level_3_id,level_3_text,level_4_id,level_4_text,section_id,section_text
03_601,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,601, scope of chapter.
03_602,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,602, legislative intent.
03_603,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,603, definitions.
03_604,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,604, general authority of commission.
03_605,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,605, agriculture-linked investment program.
03_606,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,606, liability.
03_607,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,607, funding cap.
03_701,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,701, scope of chapter.
03_702,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,702, definitions.
03_703,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,703, administration.
03_704,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,704, growth and cultivation.
03_705,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,705, control orders.
03_706,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,706, noncriminal offense.
03_707,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,707, criminal and civil penalties.
03_708,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,708, disposition of funds.
03_709,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,709, abrogation of regulation.
03_710,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,710, expiration.
03_901,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,901, scope of chapter.
03_902,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,902, definitions.
03_903,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,903, establishment.
03_904,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,904, duties.
03_905,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,905, membership.
03_906,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,906, meetings.
03_907,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,907, payments to members.
03_908,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,908, administrative support.
03_909,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,909, additional powers and duties.
03_1501,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter a, preliminary provisions,-,-,1501, scope of chapter.
03_1502,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter a, preliminary provisions,-,-,1502, definitions.
03_1511,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1511, designation of noxious weeds and controlled plants.
03_1512,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1512, permits.
03_1513,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1513, general permits.
03_1514,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1514, individual permits.
03_1515,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1515, prohibited acts.
03_1516,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1516, noxious weed control areas.
03_1517,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1517, control orders.
03_1518,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1518, compliance with orders.
03_1519,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1519, noxious weed list.
03_1520,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1520, fees.
03_1521,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1521, powers and duties of secretary and department.
03_1522,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1522, stop-sale orders.
03_1523,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1523, seizure and condemnation.
03_1524,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1524, appeal process.
03_1525,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1525, cooperation with other entities.
03_1526,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1526, rules and regulations.
03_1541,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1541, unlawful conduct.
03_1542,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1542," interference with inspector, agent or employee of department."
03_1543,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1543, enforcement and penalties.
03_1544,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1544, injunctive relief.
03_1545,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1545, de minimis violations.
03_1561,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter d, miscellaneous provisions,-,-,1561, disposition of funds.
03_1562,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter d, miscellaneous provisions,-,-,1562, preemption.
03_2101,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2101, short title of chapter.
03_2102,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2102, definitions.
03_2103,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2103, chief apiary inspector.
03_2104,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2104, quarantines.
03_2105,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2105, registration of apiaries.
03_2106,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2106, inspection.
03_2107,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2107, diseases.
03_2108,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2108, infected shipments.
03_2109,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2109, prohibitions.
03_2110,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2110, free access.
03_2111,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2111, transportation.
03_2112,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2112, imported bees.
03_2113,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2113, penalties.
03_2114,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2114, civil penalties.
03_2115,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2115, injunctions.
03_2116,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2116, concurrent remedies.
03_2117,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2117, disposition of funds.
03_2301,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2301, short title of chapter.
03_2302,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2302," finding, policy and purpose."
03_2303,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2303, definitions.
03_2304,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2304, diagnostic services and research.
03_2305,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2305, keeping and handling of domestic animals.
03_2311,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2311, general authority.
03_2312,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2312, adoption of form of identification.
03_2313,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2313, certified copies.
03_2314,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2314," brand, tattoo or other form of identification as proof of ownership."
03_2315,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2315, disputes in custody or ownership.
03_2316,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2316, sale or assignment of form of identification.
03_2317,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2317, violations and penalty.
03_2318,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2318, fees and forfeiture.
03_2321,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2321, dangerous transmissible diseases.
03_2322,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2322," neoplastic diseases, metabolic diseases and heritable diseases."
03_2323,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2323, health requirements.
03_2324,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2324, safety of domestic animal feed.
03_2325,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2325," use of biologicals, antibiotics, genetic material, chemicals, diagnostic agents and"
03_2326,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2326, sanitation.
03_2327,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2327, disease surveillance and detection.
03_2328,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2328, entry on premises.
03_2329,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2329, quarantine.
03_2330,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2330, condemnation.
03_2331,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2331, indemnification.
03_2332,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2332, depopulation incentive.
03_2333,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2333, restriction on payment of indemnification and depopulation incentive.
03_2334,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2334, report on insurance or cost-sharing program.
03_2335,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2335, contract growers.
03_2341,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2341, general authority.
03_2342,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2342, license of dealers and haulers.
03_2343,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2343, licensure of agents.
03_2344,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2344, verification of application.
03_2345,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2345, license fees.
03_2346,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2346, term of license.
04_301,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter a, general provisions,-,-,301, scope of chapter.
04_302,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter a, general provisions,-,-,302, definitions.
04_311,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter b, administration,-,-,311, general and specific powers of board.
04_312,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter b, administration,-,-,312, temporary regulations.
04_313,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter b, administration,-,-,313, fantasy contest license appeals.
04_314,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter b, administration,-,-,314, board minutes and records.
04_315,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter b, administration,-,-,315, reports of board.
04_321,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter c, licensure,-,-,321, general prohibition.
04_322,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter c, licensure,-,-,322, application.
04_323,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter c, licensure,-,-,323, issuance and denial of license.
04_324,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter c, licensure,-,-,324, license renewal.
04_325,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter c, licensure,-,-,325, conditions of licensure.
04_326,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter c, licensure,-,-,326, prohibitions.
04_327,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter c, licensure,-,-,327, change in ownership or control of licensed operators.
04_328,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter c, licensure,-,-,328, penalties.
04_331,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter d, fiscal provisions,-,-,331, fantasy contest tax.
04_332,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter d, fiscal provisions,-,-,332, licensed operator deposits.
04_333,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter d, fiscal provisions,-,-,333, responsibility and authority of department.
04_334,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter d, fiscal provisions,-,-,334, compulsive and problem gambling.
04_341,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter e, miscellaneous provisions,-,-,341, applicability of other statutes.
04_341.1,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter e, miscellaneous provisions,-,-,341.1,liability.
04_342,04,amusements,part i, amusements generally,chapter 3, fantasy contests,subchapter e, miscellaneous provisions,-,-,342, licensed gaming entities.
04_501,04,amusements,part i, amusements generally,chapter 5, lottery,-,-,-,-,501, scope of chapter.
04_502,04,amusements,part i, amusements generally,chapter 5, lottery,-,-,-,-,502, definitions.
04_503,04,amusements,part i, amusements generally,chapter 5, lottery,-,-,-,-,503, ilottery authorization.
04_504,04,amusements,part i, amusements generally,chapter 5, lottery,-,-,-,-,504, retail incentive program.
04_505,04,amusements,part i, amusements generally,chapter 5, lottery,-,-,-,-,505, lottery sales advisory council.
04_1101,04,amusements,part ii, gaming,chapter 11, general provisions,-,-,-,-,1101, short title of part.
04_1102,04,amusements,part ii, gaming,chapter 11, general provisions,-,-,-,-,1102, legislative intent.
04_1103,04,amusements,part ii, gaming,chapter 11, general provisions,-,-,-,-,1103, definitions.
04_1201,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1201, pennsylvania gaming control board established.
04_1201.1,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1201.1,applicability of other statutes.
04_1202,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1202, general and specific powers.
04_1202.1,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1202.1,code of conduct.
04_1202.2,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1202.2,expenses of regulatory agencies.
04_1203,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1203, temporary regulations.
04_1204,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1204, licensed gaming entity application appeals from board.
04_1205,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1205, license or permit application hearing process; public input hearings.
04_1206,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1206, board minutes and records.
04_1207,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1207, regulatory authority of board.
04_1208,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1208, collection of fees and fines.
04_1209,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1209, slot machine license fee.
04_1210,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1210, number of slot machines.
04_1211,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1211, reports of board.
04_1212,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1212, diversity goals of board.
04_1213,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1213, license or permit prohibition.
04_1214,04,amusements,part ii, gaming,chapter 12, pennsylvania gaming control board,-,-,-,-,1214, specific authority to suspend slot machine license.
04_1301,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1301, authorized slot machine licenses.
04_1302,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1302, category 1 slot machine license.
04_1303,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1303, additional category 1 slot machine license requirements.
04_1304,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1304, category 2 slot machine license.
04_1305,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1305, category 3 slot machine license.
04_1305.1,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1305.1,category 4 slot machine license.
04_1305.2,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1305.2,conduct of auctions.
04_1306,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1306, order of initial license issuance.
04_1307,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1307, number of slot machine licenses.
04_1308,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1308, applications for license or permit.
04_1309,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1309, slot machine license application.
04_1310,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1310, slot machine license application character requirements.
04_1311,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1311, additional slot machine license requirements.
04_1311.1,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1311.1,licensing of principals.
04_1311.2,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1311.2,licensing of key employees.
04_1312,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1312, divestiture of disqualifying applicant.
04_1313,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1313, slot machine license application financial fitness requirements.
04_1314,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1314, alternative category 1 licensing standards.
04_1315,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1315, conditional category 1 licenses.
04_1316,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1316, bond for issuance of slot machine license.
04_1317,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1317, supplier licenses.
04_1317.1,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1317.1,manufacturer licenses.
04_1317.2,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1317.2,gaming service provider.
04_1317.3,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1317.3,nongaming service provider.
04_1318,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1318, occupation permit application.
04_1319,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1319, alternative manufacturer licensing standards.
04_1319.1,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1319.1,alternative supplier licensing standards.
04_1320,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1320, slot machine testing and certification standards.
04_1321,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1321, additional licenses and permits and approval of agreements.
04_1322,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1322, slot machine accounting controls and audits.
04_1323,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1323, central control computer system.
04_1324,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1324, protocol information.
04_1325,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1325, license or permit issuance.
04_1326,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1326, renewals.
04_1326.1,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1326.1,slot machine license operation fee.
04_1327,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1327, nontransferability of licenses.
04_1328,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1328, change in ownership or control of slot machine licensee.
04_1329,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1329, portability and relocation of slot machine license.
04_1330,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1330, multiple slot machine license prohibition (repealed).
04_1331,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1331," duty of licensees, key employees and gaming employees."
04_1332,04,amusements,part ii, gaming,chapter 13, licensees,-,-,-,-,1332, appointment of trustee.
04_13a01,04,amusements,part ii, gaming,chapter 13a, table games,subchapter a, general provisions,-,-,13a01, (reserved).
04_13a02,04,amusements,part ii, gaming,chapter 13a, table games,subchapter a, general provisions,-,-,13a02, regulatory authority.
04_13a03,04,amusements,part ii, gaming,chapter 13a, table games,subchapter a, general provisions,-,-,13a03, temporary table game regulations.
04_13a04,04,amusements,part ii, gaming,chapter 13a, table games,subchapter a, general provisions,-,-,13a04, commonwealth resident employment goals.
04_13a11,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a11, authorization to conduct table games.
04_13a12,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a12, petition requirements.
04_13a13,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a13, prohibitions.
04_13a14,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a14, table game authorization hearing process; public input hearings.
04_13a15,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a15, standard for review of petitions.
04_13a16,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a16, award of certificate.
04_13a16.1,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a16.1,amendment of statement of conditions.
04_13a17,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a17, table game operation certificate.
04_13a18,04,amusements,part ii, gaming,chapter 13a, table games,subchapter b, table games authorized,-,-,13a18, timing of initial table game authorizations.
04_13a21,04,amusements,part ii, gaming,chapter 13a, table games,subchapter c, conduct of table games,-,-,13a21, authorized locations for operation.
